"number","version","short_description","author","kb_category","workflow_state","sys_updated_on","active","article_id","text","article_type","direct","base_version","can_read_user_criteria","cannot_read_user_criteria","category","sys_class_name","cmdb_ci","sys_created_on","sys_created_by","description","disable_commenting","disable_suggesting","display_attachments","display_number","sys_domain","sys_domain_path","flagged","generated_with_now_assist","helpful_count","image","instrumentation_metadata","kb_knowledge_base","latest","latest_aqi","meta","meta_description","ownership_group","published","rating","replacement_article","retired","revised_by","roles","scheduled_publish_date","source","summary","sys_tags","taxonomy_topic","topic","sys_updated_by","sys_mod_count","use_count","valid_to","view_as_allowed","sys_view_count","wiki"
"KB99999999","","Microsoft Outlook Issues","System Administrator","Microsoft","Published","2019-02-22 05:12:54","true","","<p><span style=""font-size: 14pt;""><strong>Microsoft Outlook Issues</strong></span></p>
<p>This article explains how to use automatic replies in Outlook 2010 for Exchange accounts.</p>
<div id=""doc-body"">
<h3>Setting Up Automatic Replies</h3>
<ol style=""list-style-position: inside;""><li>Click the�<strong>File</strong>�tab.</li><li>Click�<strong>Automatic Replies</strong>.</li><li>Select�<strong>Send automatic replies</strong>.</li><li>If desired, select the�<strong>Only send during this time range</strong>�check box to schedule when your out of office replies are active. If you do not specify a start and end time, auto-replies will be sent until you select the<strong>�Do not send automatic replies</strong>�check box.</li><li>On the�<strong>Inside My Organization</strong>�tab, type the response that you want to send to colleagues while you are out of the office.</li><li>On the�<strong>Outside My Organization</strong>�tab, select the�<strong>Auto-reply to people outside my organization</strong>�check box, and then type the response that you want to send while you are out of the office. Select whether you want replies sent to�<strong>My contacts only</strong>�or to�<strong>Anyone outside my organization</strong>�who sends you messages.</li></ol>
<h4>NOTE:</h4>
<p>If you select�<strong>My Contacts only</strong>�in step 6, replies will be sent�<strong>only</strong>�to contacts that exist in your Contacts folder.<br /><br /></p>
<h3>Using Rules With Automatic Replies</h3>
<p>It is also possible to use rules to manage your messages while you are out of office. For example, you can create rules to automatically move or copy messages to other folders, to delete messages, to send custom replies, and so on.</p>
<ol style=""list-style-position: inside;""><li>Click the�<strong>File</strong>�tab.</li><li>Click�<strong>Automatic Replies</strong>.</li><li>Click�<strong>Rules</strong>, and then click�<strong>Add Rule</strong>.</li><li>Under�<strong>When a message arrives that meets the following conditions</strong>, specify the conditions that the message must meet for the rule to be applied. If you want to specify more conditions, click�<strong>Advanced</strong>, enter or select the options that you want, and then click�<strong>OK</strong>.</li><li>If you want to specify that this rule must be applied last, select the�<strong>Do not process subsequent rules</strong>�check box.</li><li>Under�<strong>Perform these actions</strong>, select the actions that you want. You can select more than one action.</li><li>Click�<strong>OK</strong>�three times.</li></ol>
<h4>NOTES:</h4>
<ol style=""list-style-position: inside;""><li>Automatic Replies rules can also be edited by following the above procedure.</li><li>To turn Automatic Replies rules on or off, in the Automatic Reply Rules dialog box, select or clear the check box of the rule that you want to turn on or off.</li></ol>
</div>","HTML","false","","","","","Knowledge","","2019-02-22 05:12:18","admin","","false","false","false","KB99999999","global","/","false","false","","","","IT","false","","","Microsoft Outlook Issues This article explains how to use automatic replies in Outlook 2010 for Exchange","","2019-02-22","","","","","","","","","","","General","admin","5","0","2100-01-01","false","0",""
"KB0010039","3.0","Creating a New Article (demo article for a ""How to"" template and an AQI review)","System Administrator","Content governance","Published","2017-09-14 11:01:56","true","984a2e44db59030064dd36cb7c961905","","HTML","false","KB0010039 v2.0","","","","How To","","2017-09-14 11:01:11","admin","","false","false","false","KB0010039 v3.0","global","/","false","false","","","","KCS Knowledge Base (demo data)","true","60","","","","2017-09-14","3","","","System Administrator","","","","","","","General","admin","4","0","2100-01-01","false","0",""
"KB0010039","1.0","Creating a New Article (demo article for a ""How to"" template and an AQI review )","System Administrator","Content governance","Outdated","2017-09-14 10:57:05","true","984a2e44db59030064dd36cb7c961905","","HTML","false","","","","","How To","","2017-09-14 10:56:53","admin","","false","false","false","KB0010039 v1.0","global","/","false","false","","","","KCS Knowledge Base (demo data)","false","","","","","2017-09-14","","","","","","","","","","","General","admin","3","0","2100-01-01","false","0",""
"KB0010039","2.0","Creating a New Article (demo article for a ""How to"" template and an AQI review )","System Administrator","Content governance","Outdated","2017-09-14 11:01:02","true","984a2e44db59030064dd36cb7c961905","","HTML","false","KB0010039 v1.0","","","","How To","","2017-09-14 11:00:17","admin","","false","false","false","KB0010039 v2.0","global","/","false","false","","","","KCS Knowledge Base (demo data)","false","70","","","","2017-09-14","","","","System Administrator","","","","","","","General","admin","4","0","2100-01-01","false","0",""
"KB0010038","2.0","Defining User Criteria for an Article (demo article for a ""How to"" template and an AQI review)","System Administrator","Access management","Outdated","2017-09-14 10:51:59","true","0148a604db59030064dd36cb7c961910","","HTML","false","KB0010038 v1.0","","","","How To","","2017-09-14 10:50:05","admin","","false","false","false","KB0010038 v2.0","global","/","false","false","","","","KCS Knowledge Base (demo data)","false","90","","","","2017-09-14","","","","System Administrator","","","","","","","General","admin","4","0","2100-01-01","false","0",""
"KB0010038","3.0","Defining User Criteria for an Article (demo article for a ""How to"" template and an AQI review)","System Administrator","Access management","Published","2017-09-14 10:52:59","true","0148a604db59030064dd36cb7c961910","","HTML","false","KB0010038 v2.0","","","","How To","","2017-09-14 10:52:08","admin","","false","false","false","KB0010038 v3.0","global","/","false","false","","","","KCS Knowledge Base (demo data)","true","60","","","","2017-09-14","","","","System Administrator","","","","","","","General","admin","4","0","2100-01-01","false","0",""
"KB0010038","1.0","Defining User Criteria for an Article (demo article for a ""How to"" template and an AQI review )","System Administrator","Access management","Outdated","2017-09-14 10:48:35","true","0148a604db59030064dd36cb7c961910","","HTML","false","","","","","How To","","2017-09-14 10:48:22","admin","","false","false","false","KB0010038 v1.0","global","/","false","false","","","","KCS Knowledge Base (demo data)","false","","","","","2017-09-14","","","","","","","","","","","General","admin","3","0","2100-01-01","false","0",""
"KB0010004","1.0","Feedback Mechanisms  in Knowledge (demo data for a ""What is"" template)","System Administrator","Access management","Published","2017-09-20 03:24:38","true","13bbf73987110300b66b5cdac5cb0bc5","","HTML","false","","","","","What Is","","2017-09-20 03:23:52","admin","","false","false","false","KB0010004 v1.0","global","/","false","false","","","","KCS Knowledge Base (demo data)","true","","","","","2017-09-20","","","","","","","","","","","General","admin","3","0","2100-01-01","false","0",""
"KB0010002","2.0","Sarim's test article","System Administrator","","Published","2025-11-11 20:12:49","true","7665179b930db61075d6f1d8dd03d6f7","<p>sarim&#39;s test article</p>
<p>�</p>
<table style=""border-collapse: collapse; width: 100.047%;"" border=""1""><colgroup><col style=""width: 24.9294%;"" /><col style=""width: 24.9294%;"" /><col style=""width: 24.9294%;"" /><col style=""width: 24.9294%;"" /></colgroup><tbody><tr><td>wefgwerg</td><td>wegw</td><td>�</td><td>�</td></tr><tr><td>�</td><td>�</td><td>�</td><td>�</td></tr><tr><td>�</td><td>�</td><td>wegwegweg</td><td>wgwrg</td></tr><tr><td>�</td><td>�</td><td>�</td><td>�</td></tr></tbody></table>
<p><img style=""width: 551px; height: 310px;"" src=""https://encrypted-tbn0.gstatic.com/images?q&#61;tbn:ANd9GcRc3krvG6au19sW6OVduWfXT85_SXAQRAZmeA&amp;s"" alt=""Test | Ministry of Testing"" /></p>
<p>�</p>
<p>�</p>
<p><img src=""/sys_attachment.do?sys_id&#61;21095b17934db61075d6f1d8dd03d600"" alt="""" width=""640"" height=""485"" /></p>
<p>�</p>
<p>�</p>
<p>�</p>
<p>�</p>
<p>�</p>","HTML","false","KB0010002 v1.0","","","","Knowledge","","2025-11-11 20:12:02","admin","","false","false","false","KB0010002 v2.0","global","/","false","false","0","","{""firstLoadTimestamp"":1762919797321,""isGenAiGenerated"":false,""isGenAiMultiTaskCancelled"":false,""taskList"":[],""timeTakenToFirstSave"":137242,""timeTakenToPublish"":771329}","IT","true","","","sarim's test article wefgwerg wegw wegwegweg wgwrg","","2025-11-12","","","","System Administrator","","","","KB0010002","","","General","admin","5","0","2100-01-01","true","6",""
"KB0010002","1.0","Sarim's test article","System Administrator","","outdated","2025-11-11 20:09:28","true","7665179b930db61075d6f1d8dd03d6f7","<p>sarim&#39;s test article</p>
<p>�</p>
<table style=""border-collapse: collapse; width: 100.047%;"" border=""1""><colgroup><col style=""width: 24.9294%;"" /><col style=""width: 24.9294%;"" /><col style=""width: 24.9294%;"" /><col style=""width: 24.9294%;"" /></colgroup><tbody><tr><td>wefgwerg</td><td>wegw</td><td>�</td><td>�</td></tr><tr><td>�</td><td>�</td><td>�</td><td>�</td></tr><tr><td>�</td><td>�</td><td>wegwegweg</td><td>wgwrg</td></tr><tr><td>�</td><td>�</td><td>�</td><td>�</td></tr></tbody></table>
<p><img style=""width: 551px; height: 310px;"" src=""https://encrypted-tbn0.gstatic.com/images?q&#61;tbn:ANd9GcRc3krvG6au19sW6OVduWfXT85_SXAQRAZmeA&amp;s"" alt=""Test | Ministry of Testing"" /></p>
<p>�</p>","HTML","false","","","","","Knowledge","","2025-11-11 19:58:54","admin","","false","false","false","KB0010002 v1.0","global","/","false","false","0","","{""firstLoadTimestamp"":1762919797321,""isGenAiGenerated"":false,""isGenAiMultiTaskCancelled"":false,""taskList"":[],""timeTakenToFirstSave"":137242,""timeTakenToPublish"":771329}","IT","false","","","sarim's test article wefgwerg wegw wegwegweg wgwrg","","2025-11-12","","","","","","","","KB0010002","","","General","admin","4","0","2100-01-01","true","3",""
